201001 Oxley @ Eungella	go('201001','rs',1)
201005 Rous@ Boat Harbour 3	go('201005','rs',1)
201012 Cobaki Ck @ Cobaki	go('201012','rs',1)
201015 Tweed R @ D/S Palmer	go('201015','rs',1)
201900 Tweed @ Uki	go('201900','rs',1)
202001 Brunswick@ Durrumbul	go('202001','rs',1)
202002 Burringbar Ck @ Burr	go('202002','rs',1)
203002 Coopers @ Repentance	go('203002','rs',1)
203004 Richmond @ Casino	go('203004','rs',1)
203005 Richmond @ Wiangaree	go('203005','rs',1)
203010 Leycester Rck Valley	go('203010','rs',1)
203012 Byron Ck @ Binnaburr	go('203012','rs',1)
203014 Wilsons @ Eltham	go('203014','rs',1)
203023 Ironpot Ck Toonumbar	go('203023','rs',1)
203024 Coopers @ Ewing Bdg	go('203024','rs',1)
203030 Myrtle Ck@ Rappville	go('203030','rs',1)
203034 Eden Ck @ Doubtful	go('203034','rs',1)
203041 Shannon Brk@ Yorklea	go('203041','rs',1)
203042 Toonumbar Dam Sto	go('203042','rs',1)
203056 Richmond @ Lavelles	go('203056','rs',1)
203057 Hhan Ck @U/S Teven	go('203057','rs',1)
203059 Marom Ck @ Graham Rd	go('203059','rs',1)
203060 Coopers Ck @ Fmedow	go('203060','rs',1)
203061 Gool @ Mcnamara Weir	go('203061','rs',1)
203062 Wilsons @ Lavertys	go('203062','rs',1)
203063 Dpi-Alstonville Aws	go('203063','rs',1)
203403 Richmond @Coraki	go('203403','rs',1)
203450 Bungawalbyn	go('203450','rs',1)
203470 Richmondrv@Oaklandrd	go('203470','rs',1)
203900 Richmond @ Kyogle	go('203900','rs',1)
204001 Nymboida @ Nymboida	go('204001','rs',1)
204002 Clarence @ Tabulam	go('204002','rs',1)
204004 Mann @ Jackadgery	go('204004','rs',1)
204006 Bookookoorara River	go('204006','rs',1)
204007 Clarence @ Lilydale	go('204007','rs',1)
204008 Guy Fawkes R @ Ebor	go('204008','rs',1)
204014 Mann @ Mitchell	go('204014','rs',1)
204015 Boyd @ Broadmeadows	go('204015','rs',1)
204017 Dorrigo No.2 &amp;No.3	go('204017','rs',1)
204025 Orara @ Karangi	go('204025','rs',1)
204030 Aberfoyle@ Aberfoyle	go('204030','rs',1)
204031 Mann @ Shannon Vale	go('204031','rs',1)
204033 Timbarra Billyrimbah	go('204033','rs',1)
204034 Henry @ Newton Boyd	go('204034','rs',1)
204036 Cataract @Sandy Hill	go('204036','rs',1)
204037 Clouds Ck @ Clouds	go('204037','rs',1)
204039 Maryland D/S Wylie C	go('204039','rs',1)
204041 Orara @ Bawden Bdge	go('204041','rs',1)
204043 Peacock Ck @ Bonalbo	go('204043','rs',1)
204046 Timbarra @ Drake	go('204046','rs',1)
204051 Clarence Paddys Flat	go('204051','rs',1)
204055 Sportsmans Gurranang	go('204055','rs',1)
204056 Dandahra Gibraltar R	go('204056','rs',1)
204067 Gordon Bk@Fineflower	go('204067','rs',1)
204068 Orara @ Orange Grove	go('204068','rs',1)
204069 Nymboida D/S Weir	go('204069','rs',1)
204071 Bielsdown@Charlstd	go('204071','rs',1)
204072 Nymboida Ps Right Bk	go('204072','rs',1)
204073 Nymboida Ps Left Bk	go('204073','rs',1)
204078 Acacia Ck @ Legume	go('204078','rs',1)
204400 Grafton	go('204400','rs',1)
204403 Coldstream @ Tucabi	go('204403','rs',1)
204413 Rogans Bridge	go('204413','rs',1)
204460 Clarence@Mylneford	go('204460','rs',1)
204900 Clarence @ Baryulgil	go('204900','rs',1)
204906 Orara R @ Glenreagh	go('204906','rs',1)
205002 Bellinger @ Thora	go('205002','rs',1)
205015 Nambucca U/S Bowravi	go('205015','rs',1)
205016 Bellinger At Fosters	go('205016','rs',1)
205017 Taylors @ Upp Taylor	go('205017','rs',1)
205018 South Cr @ Bowravlle	go('205018','rs',1)
205019 Never Never @ Old Xg	go('205019','rs',1)
206001 Styx @ Jeogla	go('206001','rs',1)
206008 Commissioners Waters	go('206008','rs',1)
206009 Tia @ Tia	go('206009','rs',1)
206011 Macleay @ Turners Ft	go('206011','rs',1)
206014 Wollomombi Coninside	go('206014','rs',1)
206018 Apsley Apsley Falls	go('206018','rs',1)
206024 Macleay D/S Georges	go('206024','rs',1)
206025 Salisbury Waters	go('206025','rs',1)
206026 Sandy Ck @ Newholme	go('206026','rs',1)
206027 Pipeclay @ Kirby Far	go('206027','rs',1)
206032 Dumaresq Stephens Bg	go('206032','rs',1)
206033 Apsley Apsley Gorge	go('206033','rs',1)
206034 Mihi Ck @ Abermala	go('206034','rs',1)
206035 Gara @ Willow Glen	go('206035','rs',1)
206036 Malpas Dam	go('206036','rs',1)
206037 Dumaresq D/S Dam	go('206037','rs',1)
206038 Urandangie Creek	go('206038','rs',1)
206039 Gara D/S Malpas Dam	go('206039','rs',1)
206042 Puddledock Dam	go('206042','rs',1)
206043 Chandler @ Woll	go('206043','rs',1)
206044 Dumarsq Ck @ Dam	go('206044','rs',1)
206402 Macleay @Kempsey Tb	go('206402','rs',1)
206460 Kempsey	go('206460','rs',1)
207004 Hasting Ellenborough	go('207004','rs',1)
207006 Forbes @ Birdwood	go('207006','rs',1)
207008 Stewarts @ Stewarts	go('207008','rs',1)
207009 Camden Haven Kendall	go('207009','rs',1)
207010 Pappinbarra Creek	go('207010','rs',1)
207013 Ellenbrgh D/S Bunnoo	go('207013','rs',1)
207014 Wilson @ Avenal	go('207014','rs',1)
207015 Hastings @ Mt Seavie	go('207015','rs',1)
207017 Mortons @ Mortons Rd	go('207017','rs',1)
207018 Thone R @ Deep Ck Rd	go('207018','rs',1)
208001 Barrington Bobs Xing	go('208001','rs',1)
208003 Gloucester Doon Ayre	go('208003','rs',1)
208004 Manning @ Killawarra	go('208004','rs',1)
208005 Nowendoc Rocks Xing	go('208005','rs',1)
208006 Barrington Forbsdale	go('208006','rs',1)
208007 Nowendoc @ Nowendoc	go('208007','rs',1)
208008 Gloucester Forbesdal	go('208008','rs',1)
208009 Barnard @ Barry	go('208009','rs',1)
208011 Barnard @ Mackay	go('208011','rs',1)
208015 Landsdowne @ Landsdn	go('208015','rs',1)
208019 Dingo Ck @ Munyaree	go('208019','rs',1)
208020 Gloucester Gloucestr	go('208020','rs',1)
208024 Barnard D/S Back Rv	go('208024','rs',1)
208026 Myall @ Jacky Barker	go('208026','rs',1)
208027 Barnard Measure Weir	go('208027','rs',1)
208028 Avon D/S Waukivory	go('208028','rs',1)
208029 Manning @ Leslies Br	go('208029','rs',1)
208030 Gloucester Rv @ Bell	go('208030','rs',1)
208031 Barrington@Relfs Rd	go('208031','rs',1)
208032 Dingo Ck @ Belbourie	go('208032','rs',1)
208400 Wingham	go('208400','rs',1)
208410 Taree	go('208410','rs',1)
208420 Manning@Tareewest	go('208420','rs',1)
209002 Mammy J Rv@Pikes Xin	go('209002','rs',1)
209003 Karuah R @ Booral	go('209003','rs',1)
209006 Wang Wauk @ Willina	go('209006','rs',1)
209018 Karuah R @ Dam Site	go('209018','rs',1)
210001 Hunter @ Singleton	go('210001','rs',1)
210002 Hunter @ Muswell Brg	go('210002','rs',1)
210004 Wollombi Br@Warkwrth	go('210004','rs',1)
210006 Goulburn R @ Coggan	go('210006','rs',1)
210010 Williams Rv@Glen Mar	go('210010','rs',1)
210011 Williams @ Tillegra	go('210011','rs',1)
210014 Rouchel Brook	go('210014','rs',1)
210015 Hunter D/S Glenbawn	go('210015','rs',1)
210016 Goulburn R Kerrabee	go('210016','rs',1)
210017 Moonan Brook	go('210017','rs',1)
210018 Hunter Moonan Dam St	go('210018','rs',1)
210021 Paterson R D/S Losto	go('210021','rs',1)
210022 Allyn River @ Halton	go('210022','rs',1)
210028 Wollombi Brk @ Bulga	go('210028','rs',1)
210031 Goulburn Sandy Hollw	go('210031','rs',1)
210039 Hunter R @ Belltrees	go('210039','rs',1)
210040 Wybong Ck @ Wybong	go('210040','rs',1)
210044 Middle Falbrook	go('210044','rs',1)
210052 Pages R @ Gundy Rec	go('210052','rs',1)
210055 Hunter River Denman	go('210055','rs',1)
210056 Hunter R @ Aberdeen	go('210056','rs',1)
210061 Pages R @ Blandford	go('210061','rs',1)
210064 Hunter R @ Greta	go('210064','rs',1)
210066 Merriwa U/S Vallance	go('210066','rs',1)
210070 Isis @ Lower Timor	go('210070','rs',1)
210076 Antiene Ck @ Liddell	go('210076','rs',1)
210079 Paterson R@Gostwyck	go('210079','rs',1)
210080 West Brk U/S Glendon	go('210080','rs',1)
210083 Hunter R @ Liddell	go('210083','rs',1)
210084 Glennies The Rocks 2	go('210084','rs',1)
210089 Black Ck @ Rothbury	go('210089','rs',1)
210091 Merriwa R @ Merriwa	go('210091','rs',1)
210093 Kingdon Ponds Creek	go('210093','rs',1)
210097 Glenbawn Dam	go('210097','rs',1)
210102 Lostock Dam	go('210102','rs',1)
210110 Bayswater @ Liddell	go('210110','rs',1)
210114 Carrow Brook	go('210114','rs',1)
210117 Glennies Creek Dam	go('210117','rs',1)
210118 Isis Stick-Me-Up Bdg	go('210118','rs',1)
210124 Dart Br @ Yarrand Br	go('210124','rs',1)
210126 U/S Foy Brook	go('210126','rs',1)
210127 Hunter Rv U/S Glenni	go('210127','rs',1)
210128 Hunter Rv@Mason Dieu	go('210128','rs',1)
210129 Hunter U/S Singleton	go('210129','rs',1)
